# Autodesk Revit 2027 default command labels
# Source (English): https://revit.downloads.autodesk.com/download/2027RVT_RTM/Docs/InProd/RVTKeyboardShortcuts.xlsx
# Source (Korean): https://revit.downloads.autodesk.com/download/2027RVT_RTM/Docs/InProd/RVTKeyboardShortcuts_kor.xlsx
# CommandId	English	Korean
Control_Revit_ExplodedViewMode	Toggle Highlight Displacement Sets	변위 세트 하이라이트 전환
CustomCtrl_%CustomCtrl_%CustomCtrl_%Quantification%Buildingbook Extension%MNU_BB_QID_Lvl1%Purge discontinued versions data	Buildingbook IDs:Purge discontinued versions data	Buildingbook ID:중단된 버전 데이터 소거
CustomCtrl_%CustomCtrl_%CustomCtrl_%Quantification%Buildingbook Extension%MNU_BB_QID_Lvl1%Quantity IDs: Hide All	Buildingbook IDs:Quantity IDs: Hide All	Buildingbook ID:수량 ID: 모두 숨기기
CustomCtrl_%CustomCtrl_%CustomCtrl_%Quantification%Buildingbook Extension%MNU_BB_QID_Lvl1%Quantity IDs: Show All	Buildingbook IDs:Quantity IDs: Show All	Buildingbook ID:수량 ID: 모두 표시
CustomCtrl_%CustomCtrl_%CustomCtrl_%Quantification%Buildingbook Extension%MNU_BB_QID_Lvl1%Select Building Parts by ID	Buildingbook IDs:Select Building Parts by ID	Buildingbook ID:ID별로 건물 부품 선택
CustomCtrl_%CustomCtrl_%CustomCtrl_%Quantification%RIBBON_PANEL_ROOMBOOK%RIBBON_RMQ_SurfMat_Lvl1%Apply Surface Materials to Rooms	Surface Materials:Apply Surface Materials to Rooms	표면 재료:룸에 표면 재료 적용
CustomCtrl_%CustomCtrl_%CustomCtrl_%Quantification%RIBBON_PANEL_ROOMBOOK%RIBBON_RMQ_SurfMat_Lvl1%Edit Surface Materials	Surface Materials:Edit Surface Materials	표면 재료:표면 재료 편집
CustomCtrl_%CustomCtrl_%CustomCtrl_%Quantification%RIBBON_PANEL_ROOMBOOK%RIBBON_RMQ_ToggleSym_Lvl1%Hide/Show Finish IDs	Roombook IDs:Hide/Show Finish IDs	Roombook ID:마감 ID 숨기기/표시
CustomCtrl_%CustomCtrl_%CustomCtrl_%Quantification%RIBBON_PANEL_ROOMBOOK%RIBBON_RMQ_ToggleSym_Lvl1%Hide/Show Quantity IDs	Roombook IDs:Hide/Show Quantity IDs	Roombook ID:수량 ID 숨기기/표시
CustomCtrl_%CustomCtrl_%Quantification%Areabook Extension%Add/Edit Floor Area	Add/Edit Floor Area	바닥 면적 추가/편집
CustomCtrl_%CustomCtrl_%Quantification%Areabook Extension%Calculate Areas	Calculate Areas	면적 계산
CustomCtrl_%CustomCtrl_%Quantification%Areabook Extension%Calculation Settings	Calculation Settings	계산 설정
CustomCtrl_%CustomCtrl_%Quantification%Areabook Extension%Edit Room	Edit Room	룸 편집
CustomCtrl_%CustomCtrl_%Quantification%Areabook Extension%Edit Room Assignment Type	Edit Room Assignment Type	Edit Room Assignment Type(룸 지정 유형 편집)
CustomCtrl_%CustomCtrl_%Quantification%Areabook Extension%Hide/Show Areabook IDs	Hide/Show Areabook IDs	Areabook ID 숨기기/표시
CustomCtrl_%CustomCtrl_%Quantification%Areabook Extension%Set language	Set language	언어 설정
CustomCtrl_%CustomCtrl_%Quantification%Buildingbook Extension%Calculate Building Part Quantities	Calculate Building Part Quantities	건물 부품 수량 계산
CustomCtrl_%CustomCtrl_%Quantification%Buildingbook Extension%Calculation Settings	Calculation Settings	계산 설정
CustomCtrl_%CustomCtrl_%Quantification%Buildingbook Extension%Set language	Set language	언어 설정
CustomCtrl_%CustomCtrl_%Quantification%RIBBON_PANEL_ROOMBOOK%Calculate Room Quantities	Calculate Room Quantities	Calculate Room Quantities(룸 수량 계산)
CustomCtrl_%CustomCtrl_%Quantification%RIBBON_PANEL_ROOMBOOK%Calculation Settings	Calculation Settings	계산 설정
CustomCtrl_%CustomCtrl_%Quantification%RIBBON_PANEL_ROOMBOOK%Set language	Set language	언어 설정
CustomCtrl_%CustomCtrl_%panelTurnOff%Precast Updates%DisablePrecastUpdates	Precast Updates:Disable	프리캐스트 업데이트:사용 안 함
CustomCtrl_%CustomCtrl_%panelTurnOff%Precast Updates%EnablePrecastUpdates	Precast Updates:Enable	프리캐스트 업데이트:사용
CustomCtrl_%PanelConfiguration%Configuration	Configuration	구성
CustomCtrl_%PanelConnections%MountingParts	MountingParts	MountingParts
CustomCtrl_%PanelParts%PRECAST_INTERNAL_UPDATE	PRECAST_INTERNAL_UPDATE	PRECAST_INTERNAL_UPDATE
CustomCtrl_%PanelParts%Split	Split	분할
CustomCtrl_%idCarbonAnalysis%idRunCarbonAnalysis	Analyze	해석
CustomCtrl_%idCarbonAnalysis%idShowCarbonAnalysis	View	뷰
CustomCtrl_%panelConstruction%CAMExport	CAMExport	CAMExport
CustomCtrl_%panelConstruction%ShopDrawings	ShopDrawings	ShopDrawings
CustomCtrl_%panelReinforcement%CFSConfig	CFS Config	CFS 구성
CustomCtrl_%panelReinforcement%CustomFabricSheet	CustomFabric Sheet	CustomFabric Sheet
CustomCtrl_%panelReinforcement%Reinforcement	Reinforcement	철근 배근
Dialog_BuildingSystems_3dSnapping:Control_BuildingSystems_3dSnapping	Change Slope	경사 변경
Dialog_BuildingSystems_3dSnapping:Control_BuildingSystems_MaintainSlope	Add Vertical	수직 추가
Dialog_BuildingSystems_EditPipingSystemGroup:Control_BuildingSystems_EditPipingSystemGroup	Edit System	시스템 편집
Dialog_BuildingSystems_EditPipingSystemGroup:Control_BuildingSystems_EditPipingSystemGroupDisconnectBaseObject	Disconnect Equipment	장비 연결 해제
Dialog_BuildingSystems_EditPipingSystemGroup:Control_BuildingSystems_EditPipingSystemGroupSelectBaseObject	Select Equipment	장비 선택
Dialog_BuildingSystems_EditPipingSystemGroup:Control_BuildingSystems_SplitPipingSystemGroup	Divide System	시스템 분할
Dialog_BuildingSystems_PanelScheduleCircuitDlgbar:Control_BuildingSystems_CircuitsAssignSpace	Assign Space	공간 지정
Dialog_BuildingSystems_PanelScheduleCircuitDlgbar:Control_BuildingSystems_CircuitsAssignSpare	Assign Spare	예비 지정
Dialog_BuildingSystems_PanelScheduleCircuitDlgbar:Control_BuildingSystems_CircuitsGroupUngroup	Group/ Ungroup	그룹/그룹 해제
Dialog_BuildingSystems_PanelScheduleCircuitDlgbar:Control_BuildingSystems_CircuitsLockUnlock	Lock/ Unlock	잠금/잠금 해제
Dialog_BuildingSystems_PanelScheduleCircuitDlgbar:Control_BuildingSystems_CircuitsMoveAcross	Move Across	가로로 이동
Dialog_BuildingSystems_PanelScheduleCircuitDlgbar:Control_BuildingSystems_CircuitsMoveDown	Move Down	아래로 이동
Dialog_BuildingSystems_PanelScheduleCircuitDlgbar:Control_BuildingSystems_CircuitsMoveTo	Move To	이동 위치
Dialog_BuildingSystems_PanelScheduleCircuitDlgbar:Control_BuildingSystems_CircuitsMoveUp	Move Up	위로 이동
Dialog_BuildingSystems_PanelScheduleCircuitDlgbar:Control_BuildingSystems_CircuitsRemoveSpareSpace	Remove Spare/Space	예비/공간 제거
Dialog_BuildingSystems_PanelScheduleCircuitDlgbar:Control_BuildingSystems_CircuitsRenumber	Renumber Indexes	색인 번호 재설정
Dialog_BuildingSystems_PanelScheduleCircuitDlgbar:Control_BuildingSystems_CircuitsSwitchPhase	Switch Phases	공정 전환
Dialog_BuildingSystems_PanelScheduleCircuitDlgbar:Control_BuildingSystems_CircuitsUpdateNames	Update Names	이름 업데이트
Dialog_BuildingSystems_RbsCreateCircuitGroup:Control_BuildingSystems_RbsCreateCommunicationCircuit	Communication	통신
Dialog_BuildingSystems_RbsCreateCircuitGroup:Control_BuildingSystems_RbsCreateControlsCircuit	Controls	조정
Dialog_BuildingSystems_RbsCreateCircuitGroup:Control_BuildingSystems_RbsCreateDataCircuit	Data	패널 >
Dialog_BuildingSystems_RbsCreateCircuitGroup:Control_BuildingSystems_RbsCreateFireAlarmCircuit	Fire Alarm	화재 경보
Dialog_BuildingSystems_RbsCreateCircuitGroup:Control_BuildingSystems_RbsCreateNurseCallCircuit	Nurse Call	간호사 호출
Dialog_BuildingSystems_RbsCreateCircuitGroup:Control_BuildingSystems_RbsCreatePowerCircuit	Power	전력
Dialog_BuildingSystems_RbsCreateCircuitGroup:Control_BuildingSystems_RbsCreateSecurityCircuit	Security	보안
Dialog_BuildingSystems_RbsCreateCircuitGroup:Control_BuildingSystems_RbsCreateTelephoneCircuit	Telephone	전화
Dialog_BuildingSystems_RbsCreateHvacSystemGroup:Control_BuildingSystems_RbsCreateDuctSystem	Duct	덕트
Dialog_BuildingSystems_RbsCreatePipingSystemGroup:Control_BuildingSystems_RbsCreatePipingSystem	Piping	파이프
Dialog_BuildingSystems_RbsDuctSizingBar:Control_BuildingSystems_RbsBtnSizing	Duct/Pipe Sizing	덕트/배관 크기 조정
Dialog_BuildingSystems_RbsEditCircuitGroup:Control_BuildingSystems_RbsDisconnectPanel	Disconnect Panel	패널 연결 해제
Dialog_BuildingSystems_RbsEditCircuitGroup:Control_BuildingSystems_RbsEditCircuitGroup	Edit Circuit	회로 편집
Dialog_BuildingSystems_RbsEditCircuitGroup:Control_BuildingSystems_RbsEditCircuitGroupSelectPanel	Select Panel	패널 선택
Dialog_BuildingSystems_RbsEditCircuitGroup:Control_BuildingSystems_RbsEditCircuitPath	Edit Path	경로 편집
Dialog_BuildingSystems_RbsEditSwitchSystem:Control_BuildingSystems_RbsEditSwitchSystem	Edit Switch System	스위치 시스템 편집
Dialog_BuildingSystems_RbsEditSwitchSystem:Control_BuildingSystems_RbsEditSwitchSystemDisconnectSwitch	Disconnect Switch	단로기
Dialog_BuildingSystems_RbsEditSwitchSystem:Control_BuildingSystems_RbsEditSwitchSystemSelectSwitch	Select Switch	스위치 선택
Dialog_BuildingSystems_RbsEditSystemGroup:Control_BuildingSystems_RbsDisconnectBaseObject	Disconnect Equipment	장비 연결 해제
Dialog_BuildingSystems_RbsEditSystemGroup:Control_BuildingSystems_RbsEditSystemGroup	Edit System	시스템 편집
Dialog_BuildingSystems_RbsEditSystemGroup:Control_BuildingSystems_RbsEditSystemGroupSelectBaseObject	Select Equipment	장비 선택
Dialog_BuildingSystems_RbsEditSystemGroup:Control_BuildingSystems_SplitHvacSystemGroup	Divide System	시스템 분할
Dialog_BuildingSystems_RbsInsulationLiningThickness:Control_BuildingSystems_AddDuctInsulation	Add Insulation	단열재 추가
Dialog_BuildingSystems_RbsInsulationLiningThickness:Control_BuildingSystems_AddDuctLining	Add Lining	라이닝 추가
Dialog_BuildingSystems_RbsInsulationLiningThickness:Control_BuildingSystems_EditDuctInsulation	Edit Insulation	단열재 편집
Dialog_BuildingSystems_RbsInsulationLiningThickness:Control_BuildingSystems_EditDuctLining	Edit Lining	라이닝 편집
Dialog_BuildingSystems_RbsInsulationLiningThickness:Control_BuildingSystems_RemoveDuctInsulation	Remove Insulation	단열재 제거
Dialog_BuildingSystems_RbsInsulationLiningThickness:Control_BuildingSystems_RemoveDuctLining	Remove Lining	라이닝 제거
Dialog_BuildingSystems_RbsLayoutOptionsBar:Control_BuildingSystems_3dSnapping	Change Slope	경사 변경
Dialog_BuildingSystems_RbsLayoutOptionsBar:Control_BuildingSystems_InheritElevation	Inherit Elevation	고도 상속
Dialog_BuildingSystems_RbsLayoutOptionsBar:Control_BuildingSystems_InheritSize	Inherit Size	크기 상속
Dialog_BuildingSystems_RbsLayoutOptionsBar:Control_BuildingSystems_MaintainSlope	Add Vertical	수직 추가
Dialog_BuildingSystems_RbsLayoutOptionsBar:Control_BuildingSystems_RbsBtnAutoconnect	Automatically Connect	자동 연결
Dialog_BuildingSystems_RbsLayoutOptionsBar:Control_BuildingSystems_RbsBtnJustification	Justification	자리맞추기
Dialog_BuildingSystems_RbsLayoutOptionsBar:Control_BuildingSystems_RbsBtnTagonplacement	Tag on Placement	태그 삽입
Dialog_BuildingSystems_RbsPanelScheduleCreateupdateDlgbar:Control_BuildingSystems_ChooseTemplate	Create Panel Schedules	패널 일람표 작성
Dialog_BuildingSystems_RbsPanelScheduleCreateupdateDlgbar:Control_BuildingSystems_RbsPanelScheduleCreate	Create Panel Schedules	패널 일람표 작성
Dialog_BuildingSystems_RbsPanelScheduleCreateupdateDlgbar:Control_BuildingSystems_RbsPanelScheduleUpdate	Edit Panel Schedule	패널 일람표 편집
Dialog_BuildingSystems_RbsPipeInsulationThickness:Control_BuildingSystems_AddPipeInsulation	Add Insulation	단열재 추가
Dialog_BuildingSystems_RbsPipeInsulationThickness:Control_BuildingSystems_EditPipeInsulation	Edit Insulation	단열재 편집
Dialog_BuildingSystems_RbsPipeInsulationThickness:Control_BuildingSystems_RemovePipeInsulation	Remove Insulation	단열재 제거
Dialog_BuildingSystems_RbsRoutepathModify:Control_BuildingSystems_RbsBtnUsing3DElements	3D Elements	3D 요소
Dialog_BuildingSystems_RbsRoutepathModify:Control_BuildingSystems_RbsBtnUsingPlaceholders	Placeholders	자리 표시자
Dialog_BuildingSystems_RbsRoutepathModify:Control_BuildingSystems_RbsFinish	Finish	마감
Dialog_BuildingSystems_RbsRoutepathModify:Control_BuildingSystems_RbsRoutingSolutionQuit	Cancel	취소
Dialog_BuildingSystems_RbsSystemInspectBar:Control_BuildingSystems_RbsSystemInspectorInspect	System Inspector	시스템 조사기
Dialog_CurtainGridFamily_CurtaSystemEdit:Control_CurtainGridFamily_RedoCurtaSystem	Update to Face	면으로 업데이트
Dialog_CurtainGridFamily_CurtainGridDialog:Control_CurtainGridFamily_ExcludeSegs	All Except Picked	선택된 항목을 제외한 모든 항목
Dialog_CurtainGridFamily_CurtainGridDialog:Control_CurtainGridFamily_FinishGirdLine	Restart Curtain Grid	커튼 그리드 다시 시작
Dialog_CurtainGridFamily_CurtainGridDialog:Control_CurtainGridFamily_OneSeg	One Segment	하나의 세그먼트
Dialog_CurtainGridFamily_CurtainGridDialog:Control_CurtainGridFamily_WholeGrid	All Segments	모든 세그먼트
Dialog_CurtainGridFamily_MullionJoinsBar:Control_CurtainGridFamily_SetMillionJoinsButt	Break at Join	분할
Dialog_CurtainGridFamily_MullionJoinsBar:Control_CurtainGridFamily_SetMillionJoinsConti	Make Continuous	결합
Dialog_CurtainGridFamily_MullionPlacement:Control_CurtainGridFamily_RadioMullionGrid	All Grid Lines	모든 그리드 선
Dialog_CurtainGridFamily_MullionPlacement:Control_CurtainGridFamily_RadioMullionLine	Grid Line	그리드 선
Dialog_CurtainGridFamily_MullionPlacement:Control_CurtainGridFamily_RadioMullionSegment	Grid Line Segment	그리드 선 세그먼트
Dialog_Essentials_AdjustHeightOrOverhang:Control_Essentials_RadioHeight	Adjust Height	높이 조정
Dialog_Essentials_AdjustHeightOrOverhang:Control_Essentials_RadioOverhang	Adjust Overhang	돌출부 조정
Dialog_Essentials_CurveVisibilityDbar:Control_Essentials_Visibility	Visibility Settings	가시성 설정
Dialog_Essentials_EditLeadersDialogBar:Control_Essentials_HideAllLeaders	Select None	선택 안 함
Dialog_Essentials_EditLeadersDialogBar:Control_Essentials_SelectLeadersCancel	Cancel	취소
Dialog_Essentials_EditLeadersDialogBar:Control_Essentials_SelectLeadersFinish	Finish	마감
Dialog_Essentials_EditLeadersDialogBar:Control_Essentials_ShowAllLeaders	Select All	모두 선택
Dialog_Essentials_ImportInstanceExplode:Control_Essentials_ImportDeleteLayers	Delete Layers	레이어 삭제
Dialog_Essentials_ImportInstanceExplode:Control_Essentials_ImportExplode	Explode	분해
Dialog_Essentials_ImportInstanceExplode:Control_Essentials_ImportPartialExplode	Explode	분해
Dialog_Essentials_ImportInstanceExplode:Control_Essentials_ImportQuery	Query	조회
Dialog_Essentials_ImportInstanceExplode:Control_Essentials_SketchVisibility	Visibility Settings	가시성 설정
Dialog_Essentials_RbsConnectorLinkConnectorBar:Control_Essentials_RbsConnectorBtnLinkConnector	Link Connectors	커넥터 링크
Dialog_Essentials_RbsConnectorLinkConnectorBar:Control_Essentials_RbsConnectorBtnPrimary	Re-assign Primary	1차 재지정
Dialog_Essentials_RbsConnectorLinkConnectorBar:Control_Essentials_RbsConnectorBtnRemoveLink	Remove Link	링크 제거
Dialog_Essentials_RbsConnectorPlacementBar:Control_Essentials_PlaceByWorkplane	Place on Work Plane	작업 기준면에 배치
Dialog_Essentials_RbsConnectorPlacementBar:Control_Essentials_PlaceByXface	Place on Face	면에 배치
Dialog_Essentials_SectionBar:Control_Essentials_SplitSectionSegment	Split Segment	세그먼트 분할
Dialog_Family_FamInstDbarRvtLink:Control_Family_EditInplaceFamRvtLink	Edit In-Place RvtLink	내부 Rvtlink 편집
Dialog_Family_ManyInstDbar:Control_Family_NewInplaceAny	Model In-place	내부편집 모델링
Dialog_Family_NewStructuralColumn:Control_Family_FromArchColumn	At Architectural Columns	건축 기둥에서
Dialog_Family_NewStructuralColumn:Control_Family_GridIntersection	At Grid Intersection	그리드 교차에서
Dialog_HostObj_DividedSurfaceEditRefSelectionDbar:Control_HostObj_DividedSurfaceCancelMultiPickDbar	Cancel	취소
Dialog_HostObj_DividedSurfaceEditRefSelectionDbar:Control_HostObj_DividedSurfaceFinishMultiPickDbar	Finish	마감
Dialog_HostObj_FaceRoofEdit:Control_HostObj_EditFaceRoof	Edit Face Selection	면 선택 편집
Dialog_HostObj_FaceRoofEdit:Control_HostObj_RedoFaceRoof	Update to Face	면으로 업데이트
Dialog_HostObj_FaceToposolidEdit:Control_HostObj_EditFaceToposolid	Edit Face Selection	면 선택 편집
Dialog_HostObj_FaceToposolidEdit:Control_HostObj_RedoFaceToposolid	Update to Face	면으로 업데이트
Dialog_HostObj_OpeningDbar:Control_HostObj_EditSketch	Edit Sketch	스케치 편집
Dialog_HostObj_RedoFaceBased:Control_HostObj_RedoFaceBased	Update to Face	면으로 업데이트
Dialog_HostObj_RoofByFaceEditDbar:Control_HostObj_CancelMultiPickDbar	Clear Selection	선택 항목 지우기
Dialog_HostObj_RoofByFaceEditDbar:Control_HostObj_FinishMultiPickDbar	Recreate Roof	지붕 재작성
Dialog_HostObj_ToposolidByFaceEditDbar:Control_HostObj_CancelMultiPickDbar	Clear Selection	선택 항목 지우기
Dialog_HostObj_ToposolidByFaceEditDbar:Control_HostObj_FinishMultiPickDbar	Recreate Toposolid	지형 솔리드 재작성
Dialog_Rebar_2CLickParaPerpHorizVert:Control_Rebar_2ClickPlaceParallel	Place Parallel to Work Plane	작업 기준면에 평행하게 배치
Dialog_Rebar_2CLickParaPerpHorizVert:Control_Rebar_2ClickPlacePerpHoriz	Place Perpendicular to Work Plane and Horizontal	작업 기준면 및 수평 기준면에 수직으로 배치
Dialog_Rebar_2CLickParaPerpHorizVert:Control_Rebar_2ClickPlacePerpVert	Place Perpendicular to Work Plane and Vertical	작업 기준면 및 수직 기준면에 수직으로 배치
Dialog_Rebar_2CLickParaPerpHorizVertStraight:Control_Rebar_2ClickPlaceParallelStraight	Place Parallel to Work Plane	작업 기준면에 평행하게 배치
Dialog_Rebar_2CLickParaPerpHorizVertStraight:Control_Rebar_2ClickPlacePerpHorizStraight	Place Perpendicular to Work Plane and Horizontal	작업 기준면 및 수평 기준면에 수직으로 배치
Dialog_Rebar_2CLickParaPerpHorizVertStraight:Control_Rebar_2ClickPlacePerpVertStraight	Place Perpendicular to Work Plane and Vertical	작업 기준면 및 수직 기준면에 수직으로 배치
Dialog_Rebar_2CLickParaPerpHorizVertStraight:Control_Rebar_2ClickPlacePointsStraight	Place with Major Segment Perpendicular to Work Plane	작업 기준면에 수직으로 주근 세그먼트 배치
Dialog_Rebar_ConstraintPlacement:Control_Rebar_ConstraintPlacement	Constrained Placement	구속된 배치
Dialog_Rebar_DistributionType:Control_Rebar_DistributionType	Varying Rebar Set	다양한 보강 철근 세트
Dialog_Rebar_FreeFormDistribPath:Control_Rebar_DistribPath	Host Surface	호스트 표면
Dialog_Rebar_FreeFormDistribPathParallel:Control_Rebar_DistribPathParallel	Parallel Face	평행 면
Dialog_Rebar_FreeFormDistribPathPerp:Control_Rebar_DistribPathPerp	Perpendicular Face	수직 면
Dialog_Rebar_FreeFormHostFacesTransversal:Control_Rebar_HostFacesTransversal	Path	경로
Dialog_Rebar_FreeFormOrientationFace:Control_Rebar_OrientationFace	Host Surface	호스트 표면
Dialog_Rebar_RebarPlaceMultiPlanarOrientDbar:Control_Rebar_RebarPlaceLookingAtBack	Place with Back Side Orientation Parallel to Work Plane	뒷면 방향을 작업 기준면에 평행하게 배치
Dialog_Rebar_RebarPlaceMultiPlanarOrientDbar:Control_Rebar_RebarPlaceLookingAtBottom	Place with Bottom Side Orientation Parallel to Work Plane	맨 아랫면 방향을 작업 기준면에 평행하게 배치
Dialog_Rebar_RebarPlaceMultiPlanarOrientDbar:Control_Rebar_RebarPlaceLookingAtFront	Place with Front Side Orientation Parallel to Work Plane	앞면 방향을 작업 기준면에 평행하게 배치
Dialog_Rebar_RebarPlaceMultiPlanarOrientDbar:Control_Rebar_RebarPlaceLookingAtLeft	Place with Left Side Orientation Parallel to Work Plane	왼쪽 면 방향을 작업 기준면에 평행하게 배치
Dialog_Rebar_RebarPlaceMultiPlanarOrientDbar:Control_Rebar_RebarPlaceLookingAtRight	Place with Right Side Orientation Parallel to Work Plane	오른쪽 면 방향을 작업 기준면에 평행하게 배치
Dialog_Rebar_RebarPlaceMultiPlanarOrientDbar:Control_Rebar_RebarPlaceLookingAtTop	Place with Top Side Orientation Parallel to Work Plane	맨 윗면 방향을 작업 기준면에 평행하게 배치
Dialog_Rebar_RebarPlaceParaPerpDbar:Control_Rebar_RebarPlaceParallel1	Place Parallel to Work Plane	작업 기준면에 평행하게 배치
Dialog_Rebar_RebarPlaceParaPerpDbar:Control_Rebar_RebarPlacePerpParallelToCover	Place Perpendicular to Work Plane and Parallel to Nearest Cover Reference	작업 기준면에 수직으로 및 가장 가까운 쪽 피복 참조에 평행하게 배치
Dialog_Rebar_RebarPlaceParaPerpDbar:Control_Rebar_RebarPlacePerpendicular1	Place Perpendicular to Work Plane and Perpendicular to Nearest Cover Reference	작업 기준면에 수직으로 및 가장 가까운 쪽 피복 참조에 수직으로 배치
Dialog_Rebar_RebarPlacementPlaneDbar:Control_Rebar_RebarOnCurrentWorkPlane	Place on Current Work Plane	현재 작업 기준면에 배치
Dialog_Rebar_RebarPlacementPlaneDbar:Control_Rebar_RebarOnFarCover	Place on Far Cover Reference	먼 쪽 피복 참조에 배치
Dialog_Rebar_RebarPlacementPlaneDbar:Control_Rebar_RebarOnNearCover	Place on Near Cover Reference	가까운 쪽 피복 참조에 배치
Dialog_Rebar_Selection:Control_Rebar_Clear	Clear Selection	선택 항목 지우기
Dialog_Rebar_Selection:Control_Rebar_Multiple	Select Multiple	다중 선택
Dialog_Rebar_ShowTooltip:Control_Rebar_ToggleTooltip	Show Help Tooltip	도움말 툴팁 표시
Dialog_Revit_DrawOrder:Control_Revit_BringForward	Bring to Front	앞으로 가져오기
Dialog_Revit_DrawOrder:Control_Revit_BringToFront	Bring to Front	앞으로 가져오기
Dialog_Revit_DrawOrder:Control_Revit_SendBackward	Send to Back	뒤로 보내기
Dialog_Revit_DrawOrder:Control_Revit_SendToBack	Send to Back	뒤로 보내기
Dialog_Revit_ScheduleBar:Control_Revit_BtnScheduleShow	Highlight in Model	모델에서 하이라이트
Dialog_Revit_ScheduleBar:Control_Revit_DeleteRows	Delete Row	행 삭제
Dialog_Revit_ScheduleBar:Control_Revit_GroupHeaders	Group Headers; Group Headers	머리글 그룹화, 머리글 그룹화
Dialog_Revit_ScheduleBar:Control_Revit_InsertRow	New Row	새 행
Dialog_Revit_ScheduleBar:Control_Revit_UngroupHeaders	Ungroup Headers; Ungroup Headers	머리글 그룹 해제; 머리글 그룹 해제
Dialog_Revit_WalkthroughModify:Control_Revit_BtnEditActivateview	Open Walkthrough	보행시선 열기
Dialog_Revit_WalkthroughModify:Control_Revit_BtnNextCkp	Next Key Frame	다음 키 프레임
Dialog_Revit_WalkthroughModify:Control_Revit_BtnNextFrame	Next Frame	다음 프레임
Dialog_Revit_WalkthroughModify:Control_Revit_BtnPlay	Play	재생
Dialog_Revit_WalkthroughModify:Control_Revit_BtnPrevCkp	Previous Key Frame	이전 키 프레임
Dialog_Revit_WalkthroughModify:Control_Revit_BtnPrevFrame	Previous Frame	이전 프레임
Dialog_Revit_WalkthroughModify:Control_Revit_BtnResetDirections	Reset Cameras	카메라 재설정
Dialog_RoomAreaPlan_AreaTagDlgBar:Control_RoomAreaPlan_TagRoomOnPlacement	Tag on Placement	태그 삽입
Dialog_RoomAreaPlan_RoomTagDlgBar:Control_RoomAreaPlan_FindAllRooms	Place Rooms Automatically	자동으로 룸 배치
Dialog_RoomAreaPlan_RoomTagDlgBar:Control_RoomAreaPlan_FindAllSpaces	Place Spaces Automatically	자동으로 공간 배치
Dialog_RoomAreaPlan_RoomTagDlgBar:Control_RoomAreaPlan_ShowAllRoomBounds	Highlight Boundaries	경계 하이라이트
Dialog_RoomAreaPlan_RoomTagDlgBar:Control_RoomAreaPlan_TagRoomOnPlacement	Tag on Placement	태그 삽입
Dialog_Sculpting_FormElementEditDlgbar:Control_Sculpting_FormElemCleaveButton	Add Profile	프로파일 추가
Dialog_Sculpting_FormElementEditDlgbar:Control_Sculpting_FormElemDissolveButton	Dissolve	분해
Dialog_Sculpting_FormElementEditDlgbar:Control_Sculpting_FormElemRehost	Pick New Host	새 호스트 선택
Dialog_Sculpting_FormElementEditDlgbar:Control_Sculpting_FormElemSplitButton	Add Edge	모서리 추가
Dialog_Sculpting_FormElementEditDlgbar:Control_Sculpting_FormElementConstrainProfile	Lock Profiles	프로파일 잠금
